run_id,started_utc,language,variant,repeat,order_seed,block_position,particles,measured_frames,warmup_frames,theta,seed,requested_threads,effective_threads,input,tree_ms_per_frame,force_update_ms_per_frame,cleanup_ms_per_frame,total_ms_per_frame,total_run_ms,version,commit,log
n_1000000,2026-08-26T19:15:10Z,cpp,v5,1,20260826,1,1000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,459.733533,824.358700,0.000000,1284.092233333,3852.276700,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v5_1.log
n_1000000,2026-08-26T19:15:28Z,rust,v5,1,20260826,2,1000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,494.9410,813.3468,0.0000,1308.287833333,3924.8635,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v5_1.log
n_1000000,2026-08-26T19:15:34Z,cpp,v4,1,20260826,3,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,406.584533,9996.395633,0.000000,10402.980166667,31208.940500,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v4_1.log
n_1000000,2026-08-26T19:16:28Z,cpp,v3,1,20260826,4,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,370.576167,9818.931633,0.000000,10189.507800000,30568.523400,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v3_1.log
n_1000000,2026-08-26T19:17:23Z,rust,v3,1,20260826,5,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,464.5304,12672.5874,0.0000,13137.117833333,39411.3535,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v3_1.log
n_1000000,2026-08-26T19:18:16Z,rust,v4,1,20260826,6,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,687.1292,11326.6896,0.0000,12013.818733333,36041.4562,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v4_1.log
n_1000000,2026-08-26T19:19:04Z,rust,v3,2,20260826,1,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,509.7649,14181.4708,0.0000,14691.235633333,44073.7069,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v3_2.log
n_1000000,2026-08-26T19:20:05Z,cpp,v3,2,20260826,2,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,423.146033,11142.147867,0.000000,11565.293900000,34695.881700,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v3_2.log
n_1000000,2026-08-26T19:21:04Z,rust,v5,2,20260826,3,1000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,608.8425,1055.7954,0.0000,1664.637966667,4993.9139,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v5_2.log
n_1000000,2026-08-26T19:21:12Z,cpp,v5,2,20260826,4,1000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,439.100833,905.651833,0.000000,1344.752666667,4034.258000,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v5_2.log
n_1000000,2026-08-26T19:21:31Z,rust,v4,2,20260826,5,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,630.4017,10091.9258,0.0000,10722.327533333,32166.9826,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v4_2.log
n_1000000,2026-08-26T19:22:15Z,cpp,v4,2,20260826,6,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,443.905000,10226.386600,0.000000,10670.291600000,32010.874800,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v4_2.log
n_1000000,2026-08-26T19:23:12Z,rust,v3,3,20260826,1,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,446.6296,13812.4838,0.0000,14259.113400000,42777.3402,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/rust_v3_3.log
n_1000000,2026-08-26T19:24:10Z,cpp,v5,3,20260826,2,1000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,451.562467,789.918167,0.000000,1241.480633333,3724.441900,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v5_3.log
n_1000000,2026-08-26T19:24:28Z,cpp,v4,3,20260826,3,1000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_1000000_seed1337.txt,442.065800,10187.121600,0.000000,10629.187400000,31887.562200,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_1000000/logs/cpp_v4_3.log
